pick_number,round,team
1,1,LV
2,1,NYJ
3,1,ARI
4,1,TEN
5,1,NYG
6,1,CLE
7,1,WAS
8,1,NO
9,1,KC
10,1,CIN
11,1,MIA
12,1,DAL
13,1,LAR
14,1,BAL
15,1,TB
16,1,NYJ
17,1,DET
18,1,MIN
19,1,CAR
20,1,DAL
21,1,PIT
22,1,LAC
23,1,PHI
24,1,CLE
25,1,CHI
26,1,BUF
27,1,SF
28,1,HOU
29,1,KC
30,1,MIA
31,1,NE
32,1,SEA
33,2,NYJ
34,2,ARI
35,2,TEN
36,2,LV
37,2,NYG
38,2,HOU
39,2,CLE
40,2,KC
41,2,CIN
42,2,NO
43,2,MIA
44,2,NYJ
45,2,BAL
46,2,TB
47,2,IND
48,2,ATL
49,2,MIN
50,2,DET
51,2,CAR
52,2,GB
53,2,PIT
54,2,PHI
55,2,LAC
56,2,JAX
57,2,CHI
58,2,SF
59,2,HOU
60,2,CHI
61,2,LAR
62,2,DEN
63,2,NE
64,2,SEA
65,3,ARI
66,3,TEN
67,3,LV
68,3,PHI
69,3,HOU
70,3,CLE
71,3,WAS
72,3,CIN
73,3,NO
74,3,KC
75,3,MIA
76,3,PIT
77,3,TB
78,3,IND
79,3,ATL
80,3,BAL
81,3,JAX
82,3,MIN
83,3,CAR
84,3,GB
85,3,PIT
86,3,LAC
87,3,MIA
88,3,JAX
89,3,CHI
90,3,MIA
91,3,BUF
92,3,DAL
93,3,LAR
94,3,MIA
95,3,NE
96,3,SEA
97,3,MIN
98,3,PHI
99,3,PIT
100,3,JAX
101,4,TEN
102,4,LV
103,4,NYJ
104,4,ARI
105,4,NYG
106,4,HOU
107,4,CLE
108,4,DEN
109,4,KC
110,4,CIN
111,4,DEN
112,4,DAL
113,4,IND
114,4,PHI
115,4,BAL
116,4,TB
117,4,LV
118,4,DET
119,4,CAR
120,4,GB
121,4,PIT
122,4,ATL
123,4,LAC
124,4,JAX
125,4,NE
126,4,BUF
127,4,SF
128,4,DET
129,4,CHI
130,4,MIA
131,4,NE
132,4,NO
133,4,SF
134,4,LV
135,4,PIT
136,4,NO
137,4,PHI
138,4,SF
139,4,SF
140,4,NYJ
141,5,HOU
142,5,TEN
143,5,ARI
144,5,TEN
145,5,NYG
146,5,CLE
147,5,WAS
148,5,KC
149,5,CLE
150,5,NO
151,5,MIA
152,5,DAL
153,5,GB
154,5,BAL
155,5,TB
156,5,IND
157,5,DET
158,5,CAR
159,5,CAR
160,5,GB
161,5,PIT
162,5,BAL
163,5,MIN
164,5,JAX
165,5,BUF
166,5,JAX
167,5,HOU
168,5,BUF
169,5,KC
170,5,DEN
171,5,NE
172,5,NO
173,5,BAL
174,5,BAL
175,5,LV
176,5,KC
177,5,DAL
178,5,PHI
179,5,NYJ
180,5,DAL
181,5,DET
182,6,BUF
183,6,ARI
184,6,TEN
185,6,LV
186,6,NYG
187,6,WAS
188,6,SEA
189,6,CIN
190,6,NO
191,6,NE
192,6,NYG
193,6,NYG
194,6,TEN
195,6,TB
196,6,MIN
197,6,PHI
198,6,NE
199,6,CIN
200,6,CAR
201,6,GB
202,6,NE
203,6,JAX
204,6,LAC
205,6,DET
206,6,CLE
207,6,LAR
208,6,LV
209,6,WAS
210,6,KC
211,6,BAL
212,6,NE
213,6,DET
214,6,IND
215,6,ATL
216,6,PIT
217,7,ARI
218,7,DAL
219,7,LV
220,7,BUF
221,7,CIN
222,7,DET
223,7,WAS
224,7,PIT
225,7,TEN
226,7,CIN
227,7,MIA
228,7,NYJ
229,7,TB
230,7,PIT
231,7,ATL
232,7,LAR
233,7,JAX
234,7,MIN
235,7,MIN
236,7,GB
237,7,PIT
238,7,MIA
239,7,CHI
240,7,JAX
241,7,CHI
242,7,NYJ
243,7,HOU
244,7,MIN
245,7,JAX
246,7,DEN
247,7,NE
248,7,CLE
249,7,IND
250,7,BAL
251,7,LAR
252,7,LAR
253,7,BAL
254,7,IND
255,7,GB
256,7,DEN
257,7,DEN
